Cycle: (Cycle #)
Experiment #: 6
Proposal ID: 31767
Instrument: HB2D
Experiment Title: Spin textured beam
Session Start Time: 08/29/2023  03:46:48 PM

Parameters Logged:
Device Name	Timestamp	Value
nu_1_current	08/29/2023  04:37:56 PM	0.0027
ac_1_current	08/29/2023  04:37:56 PM	-0.0006
prism_current	08/29/2023  04:37:56 PM	0.0015
nu_2_current	08/29/2023  04:37:56 PM	-0.0018
ac_2_current	08/29/2023  04:37:56 PM	0.0006
nu_3_current	08/29/2023  04:37:56 PM	-0.0005
nu_1_current	08/29/2023  04:38:56 PM	0.0027
ac_1_current	08/29/2023  04:38:56 PM	-0.0006
prism_current	08/29/2023  04:38:56 PM	0.0015
nu_2_current	08/29/2023  04:38:56 PM	-0.0017
ac_2_current	08/29/2023  04:38:56 PM	0.0007
nu_3_current	08/29/2023  04:38:56 PM	-0.0006
nu_1_current	08/29/2023  04:39:56 PM	0.0027
ac_1_current	08/29/2023  04:39:56 PM	-0.0006
prism_current	08/29/2023  04:39:56 PM	0.0015
nu_2_current	08/29/2023  04:39:56 PM	-0.0018
ac_2_current	08/29/2023  04:39:56 PM	0.0006
nu_3_current	08/29/2023  04:39:56 PM	-0.0006
nu_1_current	08/29/2023  04:40:56 PM	0.0027
ac_1_current	08/29/2023  04:40:56 PM	-0.0005
prism_current	08/29/2023  04:40:56 PM	0.0015
nu_2_current	08/29/2023  04:40:56 PM	-0.0017
ac_2_current	08/29/2023  04:40:56 PM	0.0006
nu_3_current	08/29/2023  04:40:56 PM	-0.0005
nu_1_current	08/29/2023  04:41:56 PM	0.0027
ac_1_current	08/29/2023  04:41:56 PM	-0.0006
prism_current	08/29/2023  04:41:56 PM	0.0015
nu_2_current	08/29/2023  04:41:56 PM	-0.0018
ac_2_current	08/29/2023  04:41:56 PM	0.0007
nu_3_current	08/29/2023  04:41:56 PM	-0.0006
nu_1_current	08/29/2023  04:42:56 PM	0.0027
ac_1_current	08/29/2023  04:42:56 PM	-0.0005
prism_current	08/29/2023  04:42:56 PM	0.0015
nu_2_current	08/29/2023  04:42:56 PM	-0.0017
ac_2_current	08/29/2023  04:42:56 PM	0.0006
nu_3_current	08/29/2023  04:42:56 PM	-0.0005
nu_1_current	08/29/2023  04:43:56 PM	0.0027
ac_1_current	08/29/2023  04:43:56 PM	-0.0006
prism_current	08/29/2023  04:43:56 PM	0.0015
nu_2_current	08/29/2023  04:43:56 PM	-0.0017
ac_2_current	08/29/2023  04:43:56 PM	0.0007
nu_3_current	08/29/2023  04:43:56 PM	-0.0005
nu_1_current	08/29/2023  04:44:56 PM	0.0027
ac_1_current	08/29/2023  04:44:56 PM	-0.0005
prism_current	08/29/2023  04:44:56 PM	0.0015
nu_2_current	08/29/2023  04:44:56 PM	-0.0017
ac_2_current	08/29/2023  04:44:56 PM	0.0006
nu_3_current	08/29/2023  04:44:56 PM	-0.0006
nu_1_current	08/29/2023  04:45:56 PM	0.0027
ac_1_current	08/29/2023  04:45:56 PM	-0.0005
prism_current	08/29/2023  04:45:56 PM	0.0015
nu_2_current	08/29/2023  04:45:56 PM	-0.0018
ac_2_current	08/29/2023  04:45:56 PM	0.0006
nu_3_current	08/29/2023  04:45:56 PM	-0.0004
nu_1_current	08/29/2023  04:46:56 PM	0.0027
ac_1_current	08/29/2023  04:46:56 PM	-0.0005
prism_current	08/29/2023  04:46:56 PM	0.0015
nu_2_current	08/29/2023  04:46:56 PM	-0.0018
ac_2_current	08/29/2023  04:46:56 PM	0.0006
nu_3_current	08/29/2023  04:46:56 PM	-0.0005
nu_1_current	08/29/2023  04:47:56 PM	0.0027
ac_1_current	08/29/2023  04:47:56 PM	-0.0005
prism_current	08/29/2023  04:47:56 PM	0.0015
nu_2_current	08/29/2023  04:47:56 PM	-0.0017
ac_2_current	08/29/2023  04:47:56 PM	0.0006
nu_3_current	08/29/2023  04:47:56 PM	-0.0005
nu_1_current	08/29/2023  04:48:56 PM	0.0027
ac_1_current	08/29/2023  04:48:56 PM	-0.0005
prism_current	08/29/2023  04:48:56 PM	0.0015
nu_2_current	08/29/2023  04:48:56 PM	-0.0018
ac_2_current	08/29/2023  04:48:56 PM	0.0005
nu_3_current	08/29/2023  04:48:56 PM	-0.0006
nu_1_current	08/29/2023  04:49:56 PM	0.0027
ac_1_current	08/29/2023  04:49:56 PM	-0.0006
prism_current	08/29/2023  04:49:56 PM	0.0014
nu_2_current	08/29/2023  04:49:56 PM	-0.0018
ac_2_current	08/29/2023  04:49:56 PM	0.0006
nu_3_current	08/29/2023  04:49:56 PM	-0.0005
nu_1_current	08/29/2023  04:50:56 PM	0.0027
ac_1_current	08/29/2023  04:50:56 PM	-0.0005
prism_current	08/29/2023  04:50:56 PM	0.0015
nu_2_current	08/29/2023  04:50:56 PM	-0.0017
ac_2_current	08/29/2023  04:50:56 PM	0.0006
nu_3_current	08/29/2023  04:50:56 PM	-0.0005
nu_1_current	08/29/2023  04:51:56 PM	0.0026
ac_1_current	08/29/2023  04:51:56 PM	-0.0005
prism_current	08/29/2023  04:51:56 PM	0.0015
nu_2_current	08/29/2023  04:51:56 PM	-0.0017
ac_2_current	08/29/2023  04:51:56 PM	0.0006
nu_3_current	08/29/2023  04:51:56 PM	-0.0004
nu_1_current	08/29/2023  04:52:56 PM	0.0027
ac_1_current	08/29/2023  04:52:56 PM	-0.0006
prism_current	08/29/2023  04:52:56 PM	0.0015
nu_2_current	08/29/2023  04:52:56 PM	-0.0017
ac_2_current	08/29/2023  04:52:56 PM	0.0006
nu_3_current	08/29/2023  04:52:56 PM	-0.0005
nu_1_current	08/29/2023  04:53:56 PM	0.0027
ac_1_current	08/29/2023  04:53:56 PM	-0.0006
prism_current	08/29/2023  04:53:56 PM	0.0015
nu_2_current	08/29/2023  04:53:56 PM	-0.0017
ac_2_current	08/29/2023  04:53:56 PM	0.0006
nu_3_current	08/29/2023  04:53:56 PM	-0.0005
nu_1_current	08/29/2023  04:54:56 PM	0.0027
ac_1_current	08/29/2023  04:54:56 PM	-0.0005
prism_current	08/29/2023  04:54:56 PM	0.0015
nu_2_current	08/29/2023  04:54:56 PM	-0.0017
ac_2_current	08/29/2023  04:54:56 PM	0.0006
nu_3_current	08/29/2023  04:54:56 PM	-0.0005
nu_1_current	08/29/2023  04:55:56 PM	0.0027
ac_1_current	08/29/2023  04:55:56 PM	-0.0005
prism_current	08/29/2023  04:55:56 PM	0.0015
nu_2_current	08/29/2023  04:55:56 PM	-0.0018
ac_2_current	08/29/2023  04:55:56 PM	0.0006
nu_3_current	08/29/2023  04:55:56 PM	-0.0005
nu_1_current	08/29/2023  04:56:56 PM	0.0027
ac_1_current	08/29/2023  04:56:56 PM	-0.0006
prism_current	08/29/2023  04:56:56 PM	0.0015
nu_2_current	08/29/2023  04:56:56 PM	-0.0018
ac_2_current	08/29/2023  04:56:56 PM	0.0006
nu_3_current	08/29/2023  04:56:56 PM	-0.0005
nu_1_current	08/29/2023  04:57:57 PM	0.0027
ac_1_current	08/29/2023  04:57:57 PM	-0.0005
prism_current	08/29/2023  04:57:57 PM	0.0015
nu_2_current	08/29/2023  04:57:57 PM	-0.0017
ac_2_current	08/29/2023  04:57:57 PM	0.0006
nu_3_current	08/29/2023  04:57:57 PM	-0.0005
nu_1_current	08/29/2023  04:58:57 PM	0.0027
ac_1_current	08/29/2023  04:58:57 PM	-0.0005
prism_current	08/29/2023  04:58:57 PM	0.0015
